,Product name,Prices,Seller Name,URL,Product Code,IMG
0,Kids Boys Tobot Short Sleeves T shirt Summer Casual Short Sleeve T Shirts Children Clothes,10.81,kfcjunjun.my,https://shopee.com.my/Kids-Boys-Tobot-Short-Sleeves-T-shirt-Summer-Casual-Short-Sleeve-T-Shirts-Children-Clothes-i.108051776.4504500708,i.108051776.4504500708,"=HYPERLINK(""https://cf.shopee.com.my/file/6ac1a926f84f35699fd359e7113e05ff"")"
1,CHILDREN'S CHARACTER SANDALS TOBOT,5.50,mediasepatu.my,https://shopee.com.my/CHILDREN'S-CHARACTER-SANDALS-TOBOT-i.240875207.4542938706,i.240875207.4542938706,"=HYPERLINK(""https://cf.shopee.com.my/file/714c0c3beadd1d0c6fb1a9a45a9e3530"")"
2,Robot watches Tobot,15.04,republikhati.my,https://shopee.com.my/Robot-watches-Tobot-i.253010784.4532101095,i.253010784.4532101095,"=HYPERLINK(""https://cf.shopee.com.my/file/f7607fd0b947428c22e84e5d196f5615"")"
3,tobot 【NEW ARRIVAL】 optimus prime Transformer blok digital blok bangunan dipasang kumpulan robot permainan haiwan mainan lelaki dan perempuan,27.45 - 90.69,jiaohaio.my,https://shopee.com.my/tobot-%E3%80%90NEW-ARRIVAL%E3%80%91-optimus-prime-Transformer-blok-digital-blok-bangunan-dipasang-kumpulan-robot-permainan-haiwan-mainan-lelaki-dan-perempuan-i.169415777.4536728382,i.169415777.4536728382,"=HYPERLINK(""https://cf.shopee.com.my/file/a09570f9c2c8945fb23fb71db86975fc"")"
4,CHILDREN'S SWEATER TOBOT,18.96,hophop_shoping.my,https://shopee.com.my/CHILDREN'S-SWEATER-TOBOT-i.273307023.4540018119,i.273307023.4540018119,"=HYPERLINK(""https://cf.shopee.com.my/file/b0421563b1911420de2e604f9b3a5e42"")"
5,6in1 Kids Transformers Robot Car Toy Kid Transformer Block Tobot Robocar Toys Boy Birthday Children Gift Mainan Cars Kid,64.49,lianyue666.my,https://shopee.com.my/6in1-Kids-Transformers-Robot-Car-Toy-Kid-Transformer-Block-Tobot-Robocar-Toys-Boy-Birthday-Children-Gift-Mainan-Cars-Kid-i.212023911.4534811853,i.212023911.4534811853,"=HYPERLINK(""https://cf.shopee.com.my/file/1dcb55b3439569989c21a528527ddeae"")"
6,tobot【Hot】MainanTOBO King Kong Brothers Fit Transformers Toy Robot Car Set Children Boy Toy Gift,25.31 - 114.11,zhengruno.my,https://shopee.com.my/tobot%E3%80%90Hot%E3%80%91MainanTOBO-King-Kong-Brothers-Fit-Transformers-Toy-Robot-Car-Set-Children-Boy-Toy-Gift-i.170046230.4533774056,i.170046230.4533774056,"=HYPERLINK(""https://cf.shopee.com.my/file/e659b81115246c3050497903e21f1f23"")"
7,(frog) Machine Warrior Tobot Gd Medium Power The Original 1395 Mini,144.01,vicky68042005.my,https://shopee.com.my/(frog)-Machine-Warrior-Tobot-Gd-Medium-Power-The-Original-1395-Mini-i.219528036.4547491040,i.219528036.4547491040,"=HYPERLINK(""https://cf.shopee.com.my/file/8b6301f0280ba2e99eaf0c3a6ee9963e"")"
8,CHILDREN'S BACKPACK BAGS FROM PAUD TK GAMBAR PONY TAYO TOBOT SPIDERMAN,19.24,fast_shopid.my,https://shopee.com.my/CHILDREN'S-BACKPACK-BAGS-FROM-PAUD-TK-GAMBAR-PONY-TAYO-TOBOT-SPIDERMAN-i.250616293.4529876105,i.250616293.4529876105,"=HYPERLINK(""https://cf.shopee.com.my/file/840333955bda320b7316787f8954fe2b"")"
9,Promo Peci Kofyah Tobot motif children Songkok Tobot motif children,12.57,redihermawan499.my,https://shopee.com.my/Promo-Peci-Kofyah-Tobot-motif-children-Songkok-Tobot-motif-children-i.282486820.4543136333,i.282486820.4543136333,"=HYPERLINK(""https://cf.shopee.com.my/file/ea032570bad96e5e08ab1b7b55714023"")"
10,Tobot A4 Stickers (2 in 1),2.80,are23411.my,https://shopee.com.my/Tobot-A4-Stickers-(2-in-1)-i.199404265.4543511859,i.199404265.4543511859,"=HYPERLINK(""https://cf.shopee.com.my/file/f69f118283ab4b37a421aea313ead251"")"
11,LED child sandals Tobot lamp best selling age 1 6 years size,12.86 - 13.79,rizki1092.my,https://shopee.com.my/LED-child-sandals-Tobot-lamp-best-selling-age-1-6-years-size-i.285107122.4543164081,i.285107122.4543164081,"=HYPERLINK(""https://cf.shopee.com.my/file/c838822fe38a1c964287e94373245b05"")"
12,tobot optimus prime 【NEW ARRIVAL】 Satu kereta klik deformasi perlanggaran robot berlian inersia Bugatti Autobot boy model kereta mainan inersia,41.65 - 55.55,aoweihe.my,https://shopee.com.my/tobot-optimus-prime-%E3%80%90NEW-ARRIVAL%E3%80%91-Satu-kereta-klik-deformasi-perlanggaran-robot-berlian-inersia-Bugatti-Autobot-boy-model-kereta-mainan-inersia-i.170102959.4536728519,i.170102959.4536728519,"=HYPERLINK(""https://cf.shopee.com.my/file/f449df7eb59d623f9a5b458d2bf4dd7d"")"
13,【Ready Stock】Tobot【NEW ARRIVAL】Ledi Super Flying Toy Set Ukuran Penuh Besar Ledi Little Love Snow Anak Deformasi Robot Teka teki Boy,27.76 - 50.86,baidianz.my,https://shopee.com.my/%E3%80%90Ready-Stock%E3%80%91Tobot%E3%80%90NEW-ARRIVAL%E3%80%91Ledi-Super-Flying-Toy-Set-Ukuran-Penuh-Besar-Ledi-Little-Love-Snow-Anak-Deformasi-Robot-Teka-teki-Boy-i.252710070.4532191048,i.252710070.4532191048,"=HYPERLINK(""https://cf.shopee.com.my/file/78d89a7d0dede19bea9fd434e5c8b38f"")"
14,Songkok Velvet Children Motive Tayo Tobot Peci Songkok Skull Cap Children Cartoon Black Peci Children,17.00,wangisilmy.my,https://shopee.com.my/Songkok-Velvet-Children-Motive-Tayo-Tobot-Peci-Songkok-Skull-Cap-Children-Cartoon-Black-Peci-Children-i.267782608.4536640333,i.267782608.4536640333,"=HYPERLINK(""https://cf.shopee.com.my/file/ca500e55f050da964f670908651acd75"")"
15,Tobot school bag character,12.20,grosirtasgresik.my,https://shopee.com.my/Tobot-school-bag-character-i.273303919.4538305272,i.273303919.4538305272,"=HYPERLINK(""https://cf.shopee.com.my/file/e448d7cb94f4605e1d44f7574dbb54ae"")"
